P.T. LEE CNCET - DEPARTMENT OF INFORMATION TECHNOLOGY (B.TECH IT) & CORE ENGINEERING CURRICULUM,,,,,,,,,,,,,
Anna University Regulation 2021 (R2021) CBCS Curriculum & Course Matrix,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course Code,Course Title / Subject Name,Department,Year,Semester,Category,Course Type,Lecture (L),Tutorial (T),Practical (P),Credits (C),Internal Marks,External Marks,Total Marks
IT3501,Full Stack Web Development,IT,Year 3,Semester 5,Professional Core,Theory + Lab,3,0,2,4,40,60,100
CS3551,Distributed Computing & Cloud Architecture,IT,Year 3,Semester 5,Professional Core,Theory,3,0,0,3,40,60,100
CCS334,Big Data Analytics (Professional Elective I),IT,Year 3,Semester 5,Professional Elective,Theory,3,0,0,3,40,60,100
CCS341,Cyber Security & Digital Forensics (PE II),IT,Year 3,Semester 5,Professional Elective,Theory,3,0,0,3,40,60,100
IT3681,Mobile Application Development Laboratory,IT,Year 3,Semester 6,Professional Core,Practical,0,0,4,2,60,40,100
IT3601,Embedded Systems and Internet of Things (IoT),IT,Year 3,Semester 6,Professional Core,Theory + Lab,3,0,2,4,40,60,100
CCS370,UI/UX Design & Prototyping (PE III),IT,Year 3,Semester 6,Professional Elective,Theory,3,0,0,3,40,60,100
IT3611,Mini Project / Industrial Internship Training,IT,Year 3,Semester 6,Project Work,Practical,0,0,4,2,100,0,100
GE3791,Human Values and Ethics,S&H,Year 4,Semester 7,Humanities,Theory,2,0,0,2,40,60,100
OEC351,Open Elective - Renewable Energy Sources,EEE/Mech,Year 4,Semester 7,Open Elective,Theory,3,0,0,3,40,60,100
IT3711,Summer Internship / Industrial Training,IT,Year 4,Semester 7,Project Work,Practical,0,0,4,2,100,0,100
IT3712,Project Work - Phase I,IT,Year 4,Semester 7,Project Work,Practical,0,0,6,3,60,40,100
IT3811,Project Work - Phase II,IT,Year 4,Semester 8,Project Work,Practical,0,0,20,10,60,40,100
